Circumstances,"Total
murder
victims","Total
firearms",Handguns,Rifles,Shotguns,"Other
guns or
type not
stated","Knives or
cutting
instruments","Blunt
objects
(clubs,
hammers,
etc.)","Personal
weapons
(hands,
fists, feet,
etc.)",Poison,"Pushed
or
thrown
out
window",Explosives,Fire,Narcotics,Drowning,Strangulation,Asphyxiation,Other,
Total            ,"12,664","8,583","6,220",323,356,"1,684","1,694",496,726,5,2,12,75,29,15,85,89,853,
Felony type total:,"1,816","1,271","1,007",32,50,182,200,82,62,0,0,3,35,12,3,15,11,122,
Rape,15,1,1,0,0,0,1,1,9,0,0,0,0,0,0,1,0,2,
Robbery,734,553,474,12,12,55,75,42,21,0,0,0,0,0,0,5,3,35,
Burglary,92,52,38,1,4,9,21,10,2,0,0,0,0,0,0,1,0,6,
Larceny-theft,11,5,4,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,
Motor vehicle theft,23,6,1,1,0,4,7,5,2,0,0,0,0,0,0,0,0,3,
Arson,37,3,2,0,0,1,10,0,0,0,0,2,21,0,0,0,0,1,
Prostitution and commercialized vice,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Other sex offenses,9,1,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,3,
Narcotic drug laws,390,318,267,3,11,37,32,7,3,0,0,0,4,11,0,0,3,12,
Gambling,8,7,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Othernot specified ,494,324,213,15,22,74,46,15,24,0,0,1,10,1,3,6,5,59,
Suspected felony type,60,42,35,0,4,3,4,6,3,0,0,0,0,0,0,2,0,3,
Other than felony type total:,"5,976","3,684","2,761",192,213,518,"1,083",220,488,3,1,1,20,15,12,37,47,365,
Romantic triangle,85,57,41,3,4,9,20,1,4,0,0,0,0,0,0,1,0,2,
Child killed by babysitter,39,0,0,0,0,0,0,8,14,0,0,0,0,0,0,1,1,15,
Brawl due to influence of alcohol,111,50,39,0,6,5,23,5,23,0,0,0,0,0,1,1,2,6,
Brawl due to influence of narcotics,115,84,71,2,2,9,8,4,4,0,0,0,0,5,0,0,0,10,
Argument over money or property,155,104,76,9,8,11,28,5,10,0,0,0,0,0,0,1,0,7,
Other arguments,"3,128","1,844","1,416",96,116,216,762,125,219,0,1,0,8,3,2,17,19,128,
Gangland killings,150,143,106,5,1,31,4,0,0,0,0,0,0,0,0,0,0,3,
Juvenile gang killings,523,476,391,12,11,62,35,4,3,0,0,0,0,0,0,1,0,4,
Institutional killings,22,0,0,0,0,0,4,4,2,0,0,0,0,0,0,2,2,8,
Sniper attack,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Othernot specified ,"1,647",925,620,65,65,175,199,64,209,3,0,1,12,7,9,13,23,182,
Unknown,"4,812","3,586","2,417",99,89,981,407,188,173,2,1,8,20,2,0,31,31,363,
,,,,,,,,,,,,,,,,,,,
 ,,, ,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,